"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"557",279,"RB","control",8,"Explicit",NA
"558",279,"II","control",122,"Procedural",NA
"559",280,"RB","task",103,"Procedural",1
"560",280,"II","task",47,"Explicit",NA
"561",281,"RB","control",8,"Explicit",NA
"562",281,"II","control",92,"Explicit",NA
"563",282,"RB","task",8,"Explicit",NA
"564",282,"II","task",37,"Explicit",NA
"565",283,"RB","control",10,"Explicit",NA
"566",283,"II","control",34,"Explicit",NA
"567",284,"RB","task",12,"Explicit",NA
"568",284,"II","task",161,"Explicit",1
"569",285,"RB","control",8,"Explicit",NA
"570",285,"II","control",51,"Explicit",NA
"571",286,"RB","task",34,"Explicit",NA
"572",286,"II","task",59,"Explicit",NA
"573",287,"RB","control",16,"Explicit",NA
"574",287,"II","control",54,"Explicit",NA
"575",288,"RB","task",8,"Explicit",NA
"576",288,"II","task",27,"Explicit",NA
"577",289,"RB","control",19,"Explicit",NA
"578",289,"II","control",48,"Explicit",NA
"579",290,"RB","task",28,"Explicit",NA
"580",290,"II","task",52,"Explicit",NA
"581",291,"RB","control",12,"Explicit",NA
"582",291,"II","control",34,"Explicit",NA
"583",292,"RB","task",8,"Explicit",NA
"584",292,"II","task",162,"Explicit",1
"585",293,"RB","control",12,"Explicit",NA
"586",293,"II","control",70,"Explicit",NA
"587",294,"RB","task",8,"Explicit",NA
"588",294,"II","task",80,"Explicit",1
"589",295,"RB","control",14,"Explicit",NA
"590",295,"II","control",23,"Explicit",NA
"591",296,"RB","task",14,"Explicit",NA
"592",296,"II","task",40,"Explicit",NA
"593",297,"RB","control",8,"Explicit",NA
"594",297,"II","control",52,"Explicit",NA
"595",298,"RB","task",92,"Explicit",1
"596",298,"II","task",23,"Explicit",NA
"597",299,"RB","control",8,"Explicit",NA
"598",299,"II","control",161,"Explicit",1
"599",300,"RB","task",14,"Explicit",NA
"600",300,"II","task",164,"Explicit",1
"601",301,"RB","control",14,"Explicit",NA
"602",301,"II","control",NA,NA,1
"603",302,"RB","task",132,"Explicit",1
"604",302,"II","task",NA,NA,1
"605",303,"RB","control",12,"Explicit",NA
"606",303,"II","control",15,"Explicit",NA
"607",304,"RB","task",82,"Explicit",1
"608",304,"II","task",84,"Explicit",1
"609",305,"RB","control",8,"Explicit",NA
"610",305,"II","control",11,"Explicit",NA
"611",306,"RB","task",78,"Explicit",1
"612",306,"II","task",NA,NA,1
"613",307,"RB","control",8,"Explicit",NA
"614",307,"II","control",136,"Explicit",1
"615",308,"RB","task",53,"Explicit",1
"616",308,"II","task",9,"Explicit",NA
"617",309,"RB","control",25,"Explicit",NA
"618",309,"II","control",20,"Explicit",NA
"619",310,"RB","task",179,"Explicit",1
"620",310,"II","task",55,"Explicit",NA
"621",311,"RB","control",14,"Explicit",NA
"622",311,"II","control",41,"Explicit",NA
"623",312,"RB","task",NA,NA,1
"624",312,"II","task",NA,NA,1
"625",313,"RB","control",21,"Explicit",NA
"626",313,"II","control",28,"Explicit",NA
"627",314,"RB","task",60,"Explicit",1
"628",314,"II","task",54,"Explicit",NA
"629",315,"RB","control",15,"Explicit",NA
"630",315,"II","control",71,"Explicit",NA
"631",316,"RB","task",90,"Explicit",1
"632",316,"II","task",165,"Procedural",1
"633",317,"RB","control",9,"Explicit",NA
"634",317,"II","control",52,"Explicit",NA
"635",318,"RB","task",18,"Explicit",NA
"636",318,"II","task",29,"Explicit",NA
"637",319,"RB","control",16,"Explicit",NA
"638",319,"II","control",34,"Explicit",NA
"639",320,"RB","task",8,"Explicit",NA
"640",320,"II","task",17,"Explicit",NA
"641",321,"RB","control",18,"Explicit",NA
"642",321,"II","control",8,"Explicit",NA
"643",322,"RB","task",11,"Explicit",NA
"644",322,"II","task",158,"Explicit",1
"645",323,"RB","control",8,"Explicit",NA
"646",323,"II","control",117,"Explicit",NA
"647",324,"RB","task",82,"Explicit",1
"648",324,"II","task",36,"Explicit",NA
"649",325,"RB","control",8,"Explicit",NA
"650",325,"II","control",82,"Explicit",NA
"651",326,"RB","task",62,"Explicit",1
